nm, %R
800.000000, 45.296217
799.000000, 45.393284
798.000000, 45.475397
797.000000, 45.555975
796.000000, 45.653308
795.000000, 45.743127
794.000000, 45.821338
793.000000, 45.908581
792.000000, 45.992165
791.000000, 46.081817
790.000000, 46.169262
789.000000, 46.244863
788.000000, 46.336788
787.000000, 46.431251
786.000000, 46.518628
785.000000, 46.614007
784.000000, 46.694765
783.000000, 46.771317
782.000000, 46.853740
781.000000, 46.949660
780.000000, 47.037503
779.000000, 47.131825
778.000000, 47.210206
777.000000, 47.293090
776.000000, 47.377392
775.000000, 47.459695
774.000000, 47.545599
773.000000, 47.628693
772.000000, 47.722917
771.000000, 47.808554
770.000000, 47.881138
769.000000, 47.956454
768.000000, 48.051221
767.000000, 48.137316
766.000000, 48.224393
765.000000, 48.312218
764.000000, 48.390821
763.000000, 48.473744
762.000000, 48.546010
761.000000, 48.632949
760.000000, 48.708937
759.000000, 48.788983
758.000000, 48.865065
757.000000, 48.945074
756.000000, 49.033310
755.000000, 49.123047
754.000000, 49.202166
753.000000, 49.279357
752.000000, 49.363182
751.000000, 49.449960
750.000000, 49.531302
749.000000, 49.609318
748.000000, 49.684266
747.000000, 49.767429
746.000000, 49.837797
745.000000, 49.921311
744.000000, 50.006208
743.000000, 50.095122
742.000000, 50.159742
741.000000, 50.233976
740.000000, 50.315702
739.000000, 50.390756
738.000000, 50.471533
737.000000, 50.547071
736.000000, 50.621738
735.000000, 50.699286
734.000000, 50.774444
733.000000, 50.849953
732.000000, 50.933901
731.000000, 51.003784
730.000000, 51.081767
729.000000, 51.158800
728.000000, 51.230448
727.000000, 51.314923
726.000000, 51.389647
725.000000, 51.467164
724.000000, 51.536321
723.000000, 51.612371
722.000000, 51.693036
721.000000, 51.766836
720.000000, 51.849006
719.000000, 51.912463
718.000000, 51.987020
717.000000, 52.067725
716.000000, 52.140559
715.000000, 52.205732
714.000000, 52.265207
713.000000, 52.326970
712.000000, 52.404632
711.000000, 52.482325
710.000000, 52.546504
709.000000, 52.609678
708.000000, 52.684138
707.000000, 52.746439
706.000000, 52.818145
705.000000, 52.896477
704.000000, 52.970148
703.000000, 53.039221
702.000000, 53.111430
701.000000, 53.176623
700.000000, 53.245123
699.000000, 53.308087
698.000000, 53.373112
697.000000, 53.444724
696.000000, 53.508490
695.000000, 53.577918
694.000000, 53.633556
693.000000, 53.697120
692.000000, 53.769980
691.000000, 53.841663
690.000000, 53.900867
689.000000, 53.971531
688.000000, 54.031510
687.000000, 54.092749
686.000000, 54.154201
685.000000, 54.205987
684.000000, 54.262712
683.000000, 54.324530
682.000000, 54.381867
681.000000, 54.440217
680.000000, 54.507099
679.000000, 54.570098
678.000000, 54.626066
677.000000, 54.677440
676.000000, 54.739724
675.000000, 54.797912
674.000000, 54.854761
