comparison_uid,sample_name,display_name,measurement_uid,color_uid,measurement_number,source_family,source_system,surface,substrate,measurement_mode,measurement_angle_deg,measurement_angle_note,description,csv_path,L*,a*,b*,Cab*,Hab*,lab_srgb_hex,source_file,worksheet,instrument_sample_id,created_at_raw,metadata_source
677cfb2af1,B-1,B-1 #84,677cfb2af1,d736426268,84,rough,Diffuse spectrophotometer integrating sphere,rough,Silicon,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported","84;B-1, rough",sample_data/generated_spectra/rough_surface/84_rough_surface_SCI.csv,94.30,-3.85,-5.79,,,#e1f1f9,26032710358/rough surface/色度结果.csv,,84#,,26032710358/rough surface/光谱反射率400-700nm.xlsx
a142bb7d3e,B-1,B-1 #85,a142bb7d3e,761b674ab8,85,chinese_normal,Chinese HP Reflectance,smooth,Silicon,,8.0,Chinese HP Reflectance sample table angle,"85;B-1, smooth",26032710358/第5部分/#85-R%.csv,92.77,-2.52,-1.78,3.09,215.27,#e3eced,26032710358/第5部分/色度结果表.xlsx,结果表,#85,mon may 04 11:28:15 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),26032710358/第5部分/样品表.csv
552d06faca,B-1,B-1 #109,552d06faca,3fbd980047,109,rough,Diffuse spectrophotometer integrating sphere,rough,Silicon,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported","109;B-1, rough",sample_data/generated_spectra/rough_surface/109_rough_surface_SCI.csv,96.66,-3.47,-3.24,,,#ebf8fb,26032710358/rough surface/色度结果.csv,,109#,,26032710358/rough surface/光谱反射率400-700nm.xlsx
0baf088163,B-1,B-1 #110,0baf088163,3b684dbb92,110,chinese_normal,Chinese HP Reflectance,smooth,Silicon,,8.0,Chinese HP Reflectance sample table angle,"110;B-1, smooth",26032710358/第5部分/#110-R%.csv,93.47,-3.08,1.34,3.36,156.47,#e7eeea,26032710358/第5部分/色度结果表.xlsx,结果表,#110,mon may 04 16:01:53 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),26032710358/第5部分/样品表.csv
6cd75cf693,B-2,B-2 #90,6cd75cf693,3a0bf2107b,90,chinese_normal,Chinese HP Reflectance,smooth,Silicon,,8.0,Chinese HP Reflectance sample table angle,"90;B-2, smooth",26032710358/第5部分/#90-R%.csv,77.84,-9.57,40.78,41.89,103.2,#c9c473,26032710358/第5部分/色度结果表.xlsx,结果表,#90,mon may 04 12:18:52 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),26032710358/第5部分/样品表.csv
18861905be,B-2,B-2 #111,18861905be,832582bc95,111,rough,Diffuse spectrophotometer integrating sphere,rough,Silicon,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported","111;B-2, rough",sample_data/generated_spectra/rough_surface/111_rough_surface_SCI.csv,79.59,-9.30,23.53,,,#c5c999,26032710358/rough surface/色度结果.csv,,110# corrected-to-111#,,26032710358/rough surface/光谱反射率400-700nm.xlsx
f0b9dca7cb,B-2,B-2 #112,f0b9dca7cb,87fed20e30,112,chinese_normal,Chinese HP Reflectance,smooth,Silicon,,8.0,Chinese HP Reflectance sample table angle,"112;B-2, smooth",26032710358/第5部分/#112-R%.csv,77.72,-10.05,39,40.27,104.46,#c7c477,26032710358/第5部分/色度结果表.xlsx,结果表,#112,mon may 04 16:28:11 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),26032710358/第5部分/样品表.csv
e3d324b07c,C-5,C-5 #,e3d324b07c,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,Integrating sphere/downward-view reflectance; no simple incidence angle found in exported metadata,SiO2 70min (C-5),Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample275.Sample.Raw.csv,,,,,,,,,Sample275,thu feb 26 14:59:29 2026 Romance Standard Time (GMT+1:00),Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample275.Sample.Raw.sp
3b227a8850,D-12,D-12 #,3b227a8850,,,sofus_twodetectors,Sofus TwoDetectors,rough,Silicon,,,,Ag 120 nm 30 nm TiO2 on Si rough (D-12)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample174.Sample.Raw.csv,,,,,,,,,Sample174,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
75267e902d,D-12,D-12 #,75267e902d,,,sofus_twodetectors,Sofus TwoDetectors,rough,Silicon,,,,Ag 120 nm 30 nm TiO2 on Si rough (D-12)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample173.Sample.Raw.csv,,,,,,,,,Sample173,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
b8301197b7,D-12,D-12 #,b8301197b7,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,Ag 120 nm 30 nm TiO2 on Si (D-12)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample172.Sample.Raw.csv,,,,,,,,,Sample172,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
cc9578a489,D-12,D-12 #,cc9578a489,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,Ag 120 nm 30 nm TiO2 on Si (D-12)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample171.Sample.Raw.csv,,,,,,,,,Sample171,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
c22763fc05,D-18,D-18 #,c22763fc05,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,Ag 120 nm TiO2 140 nm on Si (D-18),Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample193.Sample.Raw.csv,,,,,,,,,Sample193,,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Info.txt
c7cdf156fe,D-18,D-18 #,c7cdf156fe,,,sofus_twodetectors,Sofus TwoDetectors,rough,Silicon,,,,Ag 120 nm TiO2 140 nm on Si rough (D-18),Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample194.Sample.Raw.csv,,,,,,,,,Sample194,,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Info.txt
3683f381b8,S-10,S-10 #,3683f381b8,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,TiO2 100 nm on Si (S-10)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample122.Sample.Raw.csv,,,,,,,,,Sample122,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
ba13df2d8e,S-10,S-10 #,ba13df2d8e,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,TiO2 100 nm on Si (S-10)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample123.Sample.Raw.csv,,,,,,,,,Sample123,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
716cb56b3c,S-11,S-11 #,716cb56b3c,,,sofus_twodetectors,Sofus TwoDetectors,rough,Silicon,,,,Ag 120 nm on Si rough (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample126.Sample.Raw.csv,,,,,,,,,Sample126,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
b1e736b180,S-11,S-11 #,b1e736b180,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,Ag 120 nm on Si (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample125.Sample.Raw.csv,,,,,,,,,Sample125,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
