measurement_uid,sample_name,source_system,source_folder,instrument_sample_id,measurement_number,description,csv_path,sp_path,sample_table,mapping_source,surface,substrate,side_note,measurement_mode,measurement_angle_deg,measurement_angle_note,measurement_width_mm,measurement_length_mm,illuminant,std_observer_deg,instrument,instrument_software,accessory,detector,created_at_raw,method_guid,task_id,metadata_source,sample_condition_note
3683f381b8,S-10,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample122,,TiO2 100 nm on Si (S-10)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample122.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
ba13df2d8e,S-10,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample123,,TiO2 100 nm on Si (S-10)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample123.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
b1e736b180,S-11,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample125,,Ag 120 nm on Si (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample125.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
716cb56b3c,S-11,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample126,,Ag 120 nm on Si rough (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample126.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,rough,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
e3d324b07c,C-5,Sofus TwoDetectors,Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time,Sample275,,SiO2 70min (C-5),Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample275.Sample.Raw.csv,Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample275.Sample.Raw.sp,Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample Table.csv,,smooth,Silicon,,,,Integrating sphere/downward-view reflectance; no simple incidence angle found in exported metadata,,,,,,PerkinElmer UV WinLab 6.3.2.0749 / 1.61.00 Lambda 900,150mm sphere / downward view,UV/VIS,thu feb 26 14:59:29 2026 Romance Standard Time (GMT+1:00),{A66F80D2-9E20-4119-B005-6A9DE63CD389},595,Sofus - TwoDetectors 26. februar 2026 13_51 Romance Standard Time/Sample275.Sample.Raw.sp,
cc9578a489,D-12,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample171,,Ag 120 nm 30 nm TiO2 on Si (D-12)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample171.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
b8301197b7,D-12,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample172,,Ag 120 nm 30 nm TiO2 on Si (D-12)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample172.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
75267e902d,D-12,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample173,,Ag 120 nm 30 nm TiO2 on Si rough (D-12)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample173.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,rough,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
3b227a8850,D-12,Sofus TwoDetectors,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time,Sample174,,Ag 120 nm 30 nm TiO2 on Si rough (D-12)_2,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample174.Sample.Raw.csv,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,,rough,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},559,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt,
c22763fc05,D-18,Sofus TwoDetectors,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time,Sample193,,Ag 120 nm TiO2 140 nm on Si (D-18),Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample193.Sample.Raw.csv,,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,,smooth,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},576,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Info.txt,
c7cdf156fe,D-18,Sofus TwoDetectors,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time,Sample194,,Ag 120 nm TiO2 140 nm on Si rough (D-18),Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample194.Sample.Raw.csv,,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,,rough,Silicon,,,,,,,,,,,,,,{A66F80D2-9E20-4119-B005-6A9DE63CD389},576,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Info.txt,
f0b9dca7cb,B-2,Chinese HP Reflectance,26032710358/第5部分,#112,112,"112;B-2, smooth",26032710358/第5部分/#112-R%.csv,26032710358/第5部分/#112-R%.sp,,26032710358/List samples for chinese measurements.docx,smooth,Silicon,,,8.0,Chinese HP Reflectance sample table angle,5.0,5.0,D65,2.0,Lambda 950,"PerkinElmer UV WinLab 6.4.0.973 / 2.02.06 Lambda 900 UV/VIS/NIR, Jan 28 2016 16:58:34",universal reflectance,UV/VIS,mon may 04 16:28:11 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),,,26032710358/第5部分/样品表.csv,
6cd75cf693,B-2,Chinese HP Reflectance,26032710358/第5部分,#90,90,"90;B-2, smooth",26032710358/第5部分/#90-R%.csv,26032710358/第5部分/#90-R%.sp,,26032710358/List samples for chinese measurements.docx,smooth,Silicon,,,8.0,Chinese HP Reflectance sample table angle,5.0,5.0,D65,2.0,Lambda 950,"PerkinElmer UV WinLab 6.4.0.973 / 2.02.06 Lambda 900 UV/VIS/NIR, Jan 28 2016 16:58:34",universal reflectance,UV/VIS,mon may 04 12:18:52 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),,,26032710358/第5部分/样品表.csv,
18861905be,B-2,Diffuse spectrophotometer integrating sphere,26032710358/rough surface,110# corrected-to-111#,111,"111;B-2, rough",sample_data/generated_spectra/rough_surface/111_rough_surface_SCI.csv,,,26032710358/List samples for chinese measurements.docx,rough,Silicon,rough surface; Corrected from rough-surface export #110 to #111.,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported",,,D65,2.0,diffuse spectrophotometer,,integrating sphere,,,,,26032710358/rough surface/光谱反射率400-700nm.xlsx,
0baf088163,B-1,Chinese HP Reflectance,26032710358/第5部分,#110,110,"110;B-1, smooth",26032710358/第5部分/#110-R%.csv,26032710358/第5部分/#110-R%.sp,,26032710358/List samples for chinese measurements.docx,smooth,Silicon,,,8.0,Chinese HP Reflectance sample table angle,5.0,5.0,D65,2.0,Lambda 950,"PerkinElmer UV WinLab 6.4.0.973 / 2.02.06 Lambda 900 UV/VIS/NIR, Jan 28 2016 16:58:34",universal reflectance,UV/VIS,mon may 04 16:01:53 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),,,26032710358/第5部分/样品表.csv,
a142bb7d3e,B-1,Chinese HP Reflectance,26032710358/第5部分,#85,85,"85;B-1, smooth",26032710358/第5部分/#85-R%.csv,26032710358/第5部分/#85-R%.sp,,26032710358/List samples for chinese measurements.docx,smooth,Silicon,,,8.0,Chinese HP Reflectance sample table angle,5.0,5.0,D65,2.0,Lambda 950,"PerkinElmer UV WinLab 6.4.0.973 / 2.02.06 Lambda 900 UV/VIS/NIR, Jan 28 2016 16:58:34",universal reflectance,UV/VIS,mon may 04 11:28:15 2026 ÖÐ¹ú±ê×¼Ê±¼ä (GMT+8:00),,,26032710358/第5部分/样品表.csv,
677cfb2af1,B-1,Diffuse spectrophotometer integrating sphere,26032710358/rough surface,84#,84,"84;B-1, rough",sample_data/generated_spectra/rough_surface/84_rough_surface_SCI.csv,,,26032710358/List samples for chinese measurements.docx,rough,Silicon,rough surface,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported",,,D65,2.0,diffuse spectrophotometer,,integrating sphere,,,,,26032710358/rough surface/光谱反射率400-700nm.xlsx,
552d06faca,B-1,Diffuse spectrophotometer integrating sphere,26032710358/rough surface,109#,109,"109;B-1, rough",sample_data/generated_spectra/rough_surface/109_rough_surface_SCI.csv,,,26032710358/List samples for chinese measurements.docx,rough,Silicon,rough surface,,,"Diffuse spectrophotometer with integrating sphere, SCI mode; no incidence angle exported",,,D65,2.0,diffuse spectrophotometer,,integrating sphere,,,,,26032710358/rough surface/光谱反射率400-700nm.xlsx,
