material,rate_nm_per_min,thickness_nm,time_min,source,source_file,sample_name,target,pressure_mbar,sccm,calibration_date,measurement_method,location_basis,confidence,notes,applies_to
TiO2,5.4,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T3,3.2e-3 to 3.9e-3,,,curated_rate_table,Old single-layer TiO2 calibration rows; grouped through-origin fit.,medium,series_or_period=Early D-series before Ag target change; error_estimate_nm_min=0.3; preferred_use=; basis=Old single-layer TiO2 calibration rows; grouped through-origin fit.,D-1 to D-19
Ag,8.5,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T2,7.1e-3 to 7.7e-3,,,curated_rate_table,S-11 single-layer gives 7.1 +/- 0.7 nm/min but conflicts with expected ~10 nm/min and multilayer back-fit.,low,series_or_period=Early D-series before Ag target change; error_estimate_nm_min=2.5; preferred_use=; basis=S-11 single-layer gives 7.1 +/- 0.7 nm/min but conflicts with expected ~10 nm/min and multilayer back-fit.,D-2 to D-19
Ag,124.0,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T1,7.5e-3,,,curated_rate_table,S-16 to S-19 profiler calibration; through-origin fit.,high,series_or_period=August/B-series; error_estimate_nm_min=2; preferred_use=; basis=S-16 to S-19 profiler calibration; through-origin fit.,B-1 to B-7
SiO2,2.5,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T2,8.0e-3 mostly,,,curated_rate_table,S-24 to S-27 profiler calibration; rounded between global fit and B-3 estimate.,medium,series_or_period=August/B-series; error_estimate_nm_min=0.3; preferred_use=; basis=S-24 to S-27 profiler calibration; rounded between global fit and B-3 estimate.,B-1 to B-7
TiO2,3.0,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T3,8.0e-3 mostly,,,curated_rate_table,S-20 to S-23 profiler/ellipsometer calibrations.,medium,series_or_period=August/B-series; error_estimate_nm_min=0.3; preferred_use=; basis=S-20 to S-23 profiler/ellipsometer calibrations.,B-1 to B-7
SiO2,1.65,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T2,8.0e-3,,,curated_rate_table,C-1 to C-4 and later 50 min SiO2 ellipsometer checks.,medium,series_or_period=Jan-Feb C/A-series; error_estimate_nm_min=0.15; preferred_use=; basis=C-1 to C-4 and later 50 min SiO2 ellipsometer checks.,C-1 onward and A-1 to A-4
TiO2,2.76,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T3,8.0e-3,,,curated_rate_table,C-24 to C-26 50 min TiO2 ellipsometer checks.,high,series_or_period=Jan-Feb C/A-series; error_estimate_nm_min=0.04; preferred_use=; basis=C-24 to C-26 50 min TiO2 ellipsometer checks.,C-1 onward and A-1 to A-4
Ag,124.0,0.0,0.0,curated_sputtering_rate_direct_numbers,Thickness/sputtering_rate_direct_numbers.csv,,T1,7.5e-3,,,curated_rate_table,No later Ag recalibration found; same target/settings as August Ag calibration.,medium,series_or_period=Jan-Feb A-series; error_estimate_nm_min=2; preferred_use=; basis=No later Ag recalibration found; same target/settings as August Ag calibration.,A-1 to A-4
TiO2,5.882352941176471,100.0,17.0,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,S-10,T3,3.3e-3,12.0,2025-04-03,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 7 direct thickness record(s),
Ag,10.0,120.0,12.0,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,S-11,T2,7.1e-3,24.0,2025-04-10,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 9 direct thickness record(s),
Ag,10.0,120.0,12.0,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,D-12,T2,7.4e-3,24.0,2025-04-21,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 4 direct thickness record(s),
TiO2,5.454545454545454,30.0,5.5,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,D-12,T3,3.8e-3,12.0,2025-04-21,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 4 direct thickness record(s),
Ag,10.0,120.0,12.0,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,D-18,T2,7.4e-3,24.0,2025-06-12,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 6 direct thickness record(s),
TiO2,4.699738903394255,120.0,25.53333333333333,nominal_description_or_pdf_matched_to_sputtering_time,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,D-18,T3,3.6e-3,12.0,2025-06-12,nominal_or_pdf,sample description/PDF nominal thickness,medium,derived from 12 direct thickness record(s),
Ag,123.96667085878214,0.0,0.0,thickness_folder_global_regression,Thickness/Ag_Target 1/regression_out_global/global_regression_summary.csv,,,,,,global_regression,,low,R2=0.997978732711594; n_points=12,
