sample_name,material,layer_order,time_min,thickness_nm_estimate,thickness_nm_uncertainty,rate_nm_per_min,method,measurement_method,confidence,source,notes
S-10,TiO2,,,100.0,10.0,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Experiments/331469865_c4a45d060e384c2598503d8f7a44cadd-250526-1506-5372.pdf; Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv; Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time01/Sample Table.csv,7 direct source(s); examples: TiO2 100 nm on Si (S-10)_1 | TiO2 100 nm on Si (S-10)_2
S-10,TiO2,1,17.0,100.0,10.0,5.882352941176471,sputtering_time_times_calibrated_rate,nominal_or_pdf,medium,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,rate_source=nominal_description_or_pdf_matched_to_sputtering_time; target=T3; pressure=3.3e-3; sccm=12.0; calibration_sample=S-10; calibration_date=2025-04-03; derived from 7 direct thickness record(s)
S-11,Ag,,,120.0,10.0,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Experiments/331479693_4b13bb32f12343c1aebca2e55a8e1a31-250526-1515-5388.pdf; Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv; Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time01/Sample Table.csv,9 direct source(s); examples: Ag 120 nm on Si (S-11)_1 | Ag 120 nm on Si rough (S-11)_1
S-11,Ag,1,12.0,120.0,10.0,10.0,sputtering_time_times_calibrated_rate,nominal_or_pdf,medium,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,rate_source=nominal_description_or_pdf_matched_to_sputtering_time; target=T2; pressure=7.1e-3; sccm=24.0; calibration_sample=S-11; calibration_date=2025-04-10; derived from 9 direct thickness record(s)
D-12,Ag,,,120.0,10.0,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,4 direct source(s); examples: Ag 120 nm 30 nm TiO2 on Si (D-12)_1 | Ag 120 nm 30 nm TiO2 on Si (D-12)_2
D-12,TiO2,,,30.0,10.0,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample Table.csv,4 direct source(s); examples: Ag 120 nm 30 nm TiO2 on Si (D-12)_1 | Ag 120 nm 30 nm TiO2 on Si (D-12)_2
D-12,Ag,1,12.0,102.0,18.36,8.5,sputtering_time_times_calibrated_rate,curated_rate_table,low,Thickness/sputtering_rate_direct_numbers.csv,rate_source=curated_sputtering_rate_direct_numbers; target=T2; pressure=7.4e-3; sccm=24.0; calibration_sample=; calibration_date=; series_or_period=Early D-series before Ag target change; error_estimate_nm_min=2.5; preferred_use=; basis=S-11 single-layer gives 7.1 +/- 0.7 nm/min but conflicts with expected ~10 nm/min and multilayer back-fit.
D-12,TiO2,2,5.5,29.700000000000003,10.0,5.4,sputtering_time_times_calibrated_rate,curated_rate_table,medium,Thickness/sputtering_rate_direct_numbers.csv,rate_source=curated_sputtering_rate_direct_numbers; target=T3; pressure=3.8e-3; sccm=12.0; calibration_sample=; calibration_date=; series_or_period=Early D-series before Ag target change; error_estimate_nm_min=0.3; preferred_use=; basis=Old single-layer TiO2 calibration rows; grouped through-origin fit.
D-18,Ag,,,120.0,10.0,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,6 direct source(s); examples: Ag 120 nm TiO2 140 nm on Si (D-18) | Ag 120 nm TiO2 140 nm on Si rough (D-18)
D-18,TiO2,,,120.0,37.90688351977538,,direct_reflectance_description_or_experiment_pdf,direct_nominal_or_pdf,high,Sofus - TwoDetectors 19. juni 2025 11_59 Romance Daylight Time/Sample Table.csv,12 direct source(s); examples: Ag 120 nm TiO2 140 nm on Si (D-18) | Ag 120 nm TiO2 140 nm on Si (D-18)
